"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Bansal Wire Industries Limited","EQ","   256","BANSALWIRE","03-JUL-2024","05-JUL-2024","Rs.243 to Rs.256","10-JUL-2024"
"Emcure Pharmaceuticals Limited","EQ","  1008","EMCURE","03-JUL-2024","05-JUL-2024","Rs.960 to Rs.1008","10-JUL-2024"
"Nephro Care India Limited","SME","90","NEPHROCARE","28-JUN-2024","02-JUL-2024","Rs.85 to Rs.90","05-JUL-2024"
"Vraj Iron and Steel Limited","BE","   207","VRAJ","26-JUN-2024","28-JUN-2024","Rs.195 to Rs.207","03-JUL-2024"
"Diensten Tech Limited","SME","100","DTL","26-JUN-2024","28-JUN-2024","Rs.95 to Rs.100","03-JUL-2024"
"Allied Blenders and Distillers Limited","EQ","   281","ABDL","25-JUN-2024","27-JUN-2024","Rs.267 to Rs.281","02-JUL-2024"
"Akiko Global Services Limited","SME","77","AKIKO","25-JUN-2024","27-JUN-2024","Rs.73 to Rs.77","02-JUL-2024"
"Petro Carbon and Chemicals Limited","SME","171","PCCL","25-JUN-2024","27-JUN-2024","Rs.162 to Rs.171","02-JUL-2024"
"Divine Power Energy Limited","SME","40","DPEL","25-JUN-2024","27-JUN-2024","Rs.36 to Rs.40","02-JUL-2024"
"Shivalic Power Control Limited","SME","100","SPCL","24-JUN-2024","26-JUN-2024","Rs.95 to Rs.100","01-JUL-2024"
"Mason Infratech Limited","SME","64","MASON","24-JUN-2024","26-JUN-2024","Rs.62 to Rs.64","01-JUL-2024"
"Visaman Global Sales Limited","SME","43","VISAMAN","24-JUN-2024","26-JUN-2024","Rs.43","01-JUL-2024"
"Sylvan Plyboard (India) Limited","SME","55","SYLVANPLY","24-JUN-2024","26-JUN-2024","Rs.55","01-JUL-2024"
"Stanley Lifestyles Limited","EQ","   369","STANLEY","21-JUN-2024","25-JUN-2024","Rs.351 to Rs.369","28-JUN-2024"
"Medicamen Organics Limited","SME","34","MEDIORG","21-JUN-2024","25-JUN-2024","Rs.32 to Rs.34","28-JUN-2024"
"Winny Immigration and Education Services Limited","SME","-","WINNY","20-JUN-2024","24-JUN-2024","Rs.140","-"
"DEE Development Engineers Limited","EQ","   203","DEEDEV","19-JUN-2024","21-JUN-2024","Rs.193 to Rs.203","26-JUN-2024"
"Akme Fintrade (India) Limited","BE","   120","AFIL","19-JUN-2024","21-JUN-2024","Rs.114 to Rs.120","26-JUN-2024"
"Durlax Top Surface Limited","SME","68","DURLAX","19-JUN-2024","21-JUN-2024","Rs.65 to Rs.68","26-JUN-2024"
"Falcon Technoprojects India Limited","SME","92","FALCONTECH","19-JUN-2024","21-JUN-2024","Rs.92","26-JUN-2024"
"Gp Eco Solutions India Limited","SME","94","GPECO","14-JUN-2024","19-JUN-2024","Rs.90 to Rs.94","24-JUN-2024"
"Le Travenues Technology Limited","EQ","    93","IXIGO","10-JUN-2024","12-JUN-2024","Rs.88 to Rs.93","18-JUN-2024"
"Kronox Lab SciencesLimited","EQ","   136","KRONOX","03-JUN-2024","05-JUN-2024","Rs.129 to Rs.136","10-JUN-2024"
"IIFL Samasta Finance limited","N9","  1000","960IIFLS26","03-JUN-2024","14-JUN-2024","Rs.1000","25-JUN-2024"
"TBI Corn Limited","SME","94","TBI","31-MAY-2024","04-JUN-2024","Rs.90 to Rs.94","07-JUN-2024"
"Aimtron Electronics Limited","SME","161","AIMTRON","30-MAY-2024","03-JUN-2024","Rs.153 to Rs.161","06-JUN-2024"
"Z-Tech (India) Limited","SME","110","ZTECH","29-MAY-2024","31-MAY-2024","Rs.104 to Rs.110","05-JUN-2024"
"Beacon Trusteeship Limited","SME","60","BEACON","28-MAY-2024","30-MAY-2024","Rs.57 to Rs.60","04-JUN-2024"
"Vilas Transcore Limited","SME","147","VILAS","27-MAY-2024","29-MAY-2024","Rs.139 to Rs.147","03-JUN-2024"
"GSM Foils Limited","SME","32","GSMFOILS","24-MAY-2024","28-MAY-2024","Rs.32","31-MAY-2024"
"Awfis Space Solutions Limited","EQ","   383","AWFIS","22-MAY-2024","27-MAY-2024","Rs.364 to Rs.383","30-MAY-2024"
"Rulka Electricals Limited","SME","235","RULKA","16-MAY-2024","21-MAY-2024","Rs.223 to Rs.235","24-MAY-2024"
"HOAC Foods India Limited","SME","48","HOACFOODS","16-MAY-2024","21-MAY-2024","Rs.48","24-MAY-2024"
"Go Digit General Insurance Limited","EQ","   272","GODIGIT","15-MAY-2024","17-MAY-2024","Rs.258 to Rs.272","23-MAY-2024"
"Quest Laboratories Limited","SME","97","QUESTLAB","15-MAY-2024","17-MAY-2024","Rs.93 to Rs.97","23-MAY-2024"
"Indiabulls Housing Finance Limited","DEBT","-","IHFL13","13-MAY-2024","27-MAY-2024","Rs.1000","-"
"Mandeep Auto Industries Limited","SME","67","MANDEEP","13-MAY-2024","15-MAY-2024","Rs.67","21-MAY-2024"
"Veritaas Advertising Limited","SME","114","VERITAAS","13-MAY-2024","15-MAY-2024","Rs.109 to Rs.114","21-MAY-2024"
"Indian Emulsifiers Limited","SME","132","IEML","13-MAY-2024","16-MAY-2024","Rs.125 to Rs.132","22-MAY-2024"
"Premier Roadlines Limited","SME","67","PRLIND","10-MAY-2024","14-MAY-2024","Rs.63 to Rs.67","17-MAY-2024"
"ABS Marine Services Limited","SME","147","ABSMARINE","10-MAY-2024","15-MAY-2024","Rs.140 to Rs.147","21-MAY-2024"
"Energy-Mission Machineries (India) Limited","SME","60","EMMIL","09-MAY-2024","13-MAY-2024","Rs.131 to Rs.138","16-MAY-2024"
"TBO Tek Limited","EQ","   920","TBOTEK","08-MAY-2024","10-MAY-2024","Rs.875 to Rs.920","15-MAY-2024"
"Aadhar Housing Finance Limited","EQ","   315","AADHARHFC","08-MAY-2024","10-MAY-2024","Rs.300 to Rs.315","15-MAY-2024"
"Silkflex Polymers (India) Limited","SME","52","SILKFLEX","07-MAY-2024","10-MAY-2024","Rs.52","15-MAY-2024"
"Indegene Limited","EQ","   452","INDGN","06-MAY-2024","08-MAY-2024","Rs.430 to Rs.452","13-MAY-2024"
